t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b
9.924999999999999,0.037776339799165726,-0.07909385859966278,0.01563209667801857,0.08996260911226273,-0.05317296087741852,0.020037854090332985,0.03915911912918091,-0.07849564403295517,0.015239723026752472,0.09073290836492634,-0.05157504025112137,0.020729326233383364
9.93,0.04010291025042534,-0.07423476129770279,0.019569138064980507,0.08648832142353058,-0.055714525282382965,0.02055519074201584,0.04131026566028595,-0.07364784181118011,0.019273072481155396,0.08728825787466254,-0.05420776101220625,0.021192749225829217
9.934999999999999,0.040283218026161194,-0.06475722044706345,0.006347153335809708,0.08315490186214447,-0.057931989431381226,0.020646365359425545,0.04148513823747635,-0.06401023268699646,0.006180177442729473,0.08398446115993669,-0.05650639846590968,0.02123117335014447
9.94,0.0388018861413002,-0.060745593160390854,0.0047996011562645435,0.08315490186214447,-0.057931989431381226,0.020646365359425545,0.03993713855743408,-0.06001567468047142,0.004668319597840309,0.08396995547017921,-0.05651907653615105,0.021254789377959483
9.944999999999999,0.028296269476413727,-0.061427753418684006,0.008139019832015038,0.08006243407726288,-0.059756260365247726,0.020136624574661255,0.0293867327272892,-0.06095295026898384,0.007838950492441654,0.0809099110686283,-0.05840774686165521,0.020698044592850937
9.95,0.018017934635281563,-0.06279797852039337,0.011900368146598339,0.06834521889686584,-0.06365720927715302,0.020383693277835846,0.01906922273337841,-0.06257612258195877,0.01142122782766819,0.06925828258114058,-0.06254985192110298,0.020727047769096556
9.955,0.009194840677082539,-0.06402221322059631,0.015036260709166527,0.05642110854387283,-0.06724134832620621,0.020635150372982025,0.01021258719265461,-0.06401430815458298,0.014399627223610878,0.057393977269999445,-0.06637605863873217,0.02075331437664995
9.959999999999999,0.0012099160812795162,-0.06488444656133652,0.014018960297107697,0.0445372499525547,-0.07043057680130005,0.02075074426829815,0.0022557908669114113,-0.06501971930265427,0.01324137207120657,0.04556493702503544,-0.0698021406477657,0.020642767366982017
9.965,-0.0019365710904821754,-0.06459099799394608,0.004351338371634483,0.03278288245201111,-0.07324886322021484,0.020713604986667633,-0.0007393013220280409,-0.0646657943725586,0.0035312685649842024,0.0338619781845438,-0.07285039847660695,0.020380202446523058
9.969999999999999,-0.0040764035657048225,-0.06167997792363167,-0.0039506168104708195,0.020295456051826477,-0.07539872825145721,0.007995737716555595,-0.0028012129478156567,-0.06169390305876732,-0.0047601936385035515,0.021628881447126668,-0.07508455382135967,0.0074368571830477435
9.975,-0.006064979359507561,-0.05682700499892235,-0.00827051606029272,0.008586869575083256,-0.07765709608793259,-0.004110340029001236,-0.004817358683794737,-0.0568293072283268,-0.009039731696248055,0.010165283117521655,-0.077421905452631,-0.0048753843279704554
9.979999999999999,-0.01445966400206089,-0.05865773186087608,-0.02192261442542076,-0.002792687388136983,-0.07991602271795273,-0.014012349769473076,-0.012953785248100758,-0.05866347625851631,-0.022829992696642876,-0.001010196470526488,-0.07978524344078154,-0.014966969230338302
9.985,-0.022436542436480522,-0.06048813462257385,-0.03973938897252083,-0.013740365393459797,-0.08203638345003128,-0.02180866338312626,-0.020614665001630783,-0.060456085950136185,-0.04076186195015907,-0.011798678999953027,-0.08203407355881019,-0.022925653717207926
9.989999999999998,-0.03001202642917633,-0.06217021495103836,-0.05695151910185814,-0.023734066635370255,-0.0844552293419838,-0.049022287130355835,-0.027903607115149498,-0.06212282180786133,-0.05806441605091095,-0.021327009249434224,-0.08436724600365629,-0.050264329262939576
9.995,-0.0371156670153141,-0.06360114365816116,-0.07145009189844131,-0.033333953469991684,-0.08671219646930695,-0.07524070143699646,-0.034786246716976166,-0.06358321756124496,-0.07262840121984482,-0.03050700740650381,-0.08658025661434657,-0.07658003843475338
10.0,-0.04445628449320793,-0.06473644822835922,-0.08692438155412674,-0.04226869344711304,-0.08860574662685394,-0.09664987772703171,-0.041913099586963654,-0.06476832181215286,-0.08815539628267288,-0.03912879662491737,-0.08850318418231122,-0.09805581732156
10.004999999999999,-0.05203790217638016,-0.0655532032251358,-0.10352398455142975,-0.05054495111107826,-0.0900728777050972,-0.1125122532248497,-0.049297165125608444,-0.06565140932798386,-0.10479533672332764,-0.047214381493539036,-0.09006352538824962,-0.11395738712927045
10.01,-0.059303686022758484,-0.06599434465169907,-0.11804220080375671,-0.06054005026817322,-0.09114038199186325,-0.13799113035202026,-0.05643175542354584,-0.06618832796812057,-0.11933441460132599,-0.056924019546051335,-0.09120129902794298,-0.1394818913897618
10.014999999999999,-0.0659894049167633,-0.06607719510793686,-0.12854459881782532,-0.07000501453876495,-0.09177932143211365,-0.16023065149784088,-0.06307125836610794,-0.06639651209115982,-0.1298384815454483,-0.0661961136145108,-0.09194943624703793,-0.16174480918582554
10.02,-0.07373369485139847,-0.06546032428741455,-0.13801056146621704,-0.07847053557634354,-0.09185264259576797,-0.17627249658107758,-0.07081174105405807,-0.06593727320432663,-0.13930757343769073,-0.07459037324775915,-0.0921719331555271,-0.17778396135256203
10.024999999999999,-0.01949392445385456,-0.04014401510357857,-0.16940151154994965,-0.08606565743684769,-0.09157261997461319,-0.1856410652399063,-0.016826683655381203,-0.039527684450149536,-0.16983184218406677,-0.0822554079186461,-0.09207051485045913,-0.18711631512366475
10.03,-0.018303733319044113,-0.03867204487323761,-0.17181788384914398,-0.09836318343877792,-0.08967384696006775,-0.2007347047328949,-0.01582607440650463,-0.03810505568981171,-0.17219023406505585,-0.09464076645031724,-0.0904023901885678,-0.20219215994217873
10.034999999999998,-0.04057600721716881,-0.04022687301039696,-0.1703197956085205,-0.10994330793619156,-0.08722856640815735,-0.21186773478984833,-0.03828475996851921,-0.04014128819108009,-0.17086954414844513,-0.10640745947147551,-0.08818997186275325,-0.21327042044112082
10.04,-0.04828852042555809,-0.041297174990177155,-0.16264033317565918,-0.12005297839641571,-0.08443088084459305,-0.21719622611999512,-0.046247448772192,-0.041442714631557465,-0.16319556534290314,-0.1167898371215629,-0.08561781504999771,-0.21850678615266048
10.045,-0.054219458252191544,-0.04016707092523575,-0.15424826741218567,-0.12882961332798004,-0.08148252218961716,-0.21653331816196442,-0.05248584598302841,-0.04050704091787338,-0.15475815534591675,-0.12593799616499132,-0.08289619796926052,-0.21769471755399733
10.049999999999999,-0.05882808938622475,-0.03922393172979355,-0.14931292831897736,-0.14687825739383698,-0.07801192998886108,-0.2170804888010025,-0.05714268982410431,-0.039666153490543365,-0.14984965324401855,-0.1440418218915793,-0.07974602689017157,-0.2183473083758399
10.055,-0.06304249167442322,-0.036922819912433624,-0.13752703368663788,-0.16392454504966736,-0.07433631271123886,-0.21398963034152985,-0.06169659644365311,-0.037530578672885895,-0.1379721760749817,-0.16151949054365478,-0.07644647075849748,-0.21507230652666665
